"name","description"
"get_params","Configuration / Initialization settings to build the ALTUM and model"
"connect_to_dbs","Connect to databases"
"get_params_from_file","Loads the parameter object from an initialization file."
"prompt_for_ini_location","Prompt the user for the location of their initialization file. Verifies the user input that the file exists."
"load_libraries","Loads the `imidexR2` package and iteratively loads functions from the `R` subfolders."
"set_params_datetime","Function used to modify the date and time in the parameters object, used to determine the demarcation point where the data is truncated."
"set_working_directory","Function used to set the RDS directory on the params object, including locations to X and Y dataset files."
"setup_logging","Sets up the futile logger"
"build_ed_visit_models_version","Build models for future ED visits for specified DEV version"
"build_dx_residual_codes_illness_models_version","Build models for primary diagnosis category residual codes, unclassified, all E codes, 259 and 260 for specified DEV version"
"build_dx_health_status_illness_models_version","Build models for primary diagnosis category illdefinied conditions and factors influencing health status for specified DEV version"
"build_dx_mental_illness_models_version","Build models for primary diagnosis category mental illness for specified DEV version"
"build_dx_mental_and_neoplasms",""
"build_dx_congenital_models_version","Build models for primary diagnosis category congenital anomalies for specified DEV version"
"build_dx_pregnancy_models_version","Build models for primary diagnosis category complications of pregnancy, childbirth, and the puerperium for specified DEV version"
"build_dx_perinatal_models_version","Build models for primary diagnosis category conditions originating in the perinatal period for specified DEV version"
"build_dx_endocrine_models_version","Build models for primary diagnosis category endocrine, nutritional, and metabolic diseases and immunity disorders for specified DEV version"
"build_ed_and_endocrine_models_version",""
"build_dx_injury_models_version","Build models for primary diagnosis category injury and poisoning for specified DEV version"
"build_dx_neoplasms_models_version","Build models for primary diagnosis category neoplasms for specified DEV version"
"build_dx_infectious_models_version","Build models for primary diagnosis category infectious and parasitic diseases for specified DEV version"
"build_dx_genitourinary_and_blood_models_version",""
"build_dx_genitourinary_models_version","Build models for primary diagnosis category diseases of the genitourinary system for specified DEV version"
"build_dx_blood_models_version","Build models for primary diagnosis category diseases of the blood and bloodforming organs for specified DEV version"
"build_dx_circulatory_models_version","Build models for primary diagnosis category diseases of the circulatory system for specified DEV version"
"build_dx_nerve_models_version","Build models for primary diagnosis category diseases of the nervous system and sense organs for specified DEV version"
"build_dx_musculoskeletal_models_version","Build models for primary diagnosis category diseases of the musculoskeletal system and connective tissue for specified DEV version"
"build_dx_skin_models_version","Build models for primary diagnosis category diseases of the skin and subcutaneous tissue"
"build_dx_digestive_and_musculoskeletal_models_version",""
"build_dx_digestive_models_version","Build models for primary diagnosis category diseases of the digestive system for specified DEV version"
"build_dx_respiratory_models_version","Build models for primary diagnosis category diseases of the respiratory system for specified DEV version"
"build_med_claim_models_version","Build models for med claim paid amts for specified DEV version"
"build_hospitalization_event_models_version","Build models for hospitalization events for specified DEV version"
"build_change_in_total_paid_amt_models","TODO"
"build_med_claim_models","TODO"
"build_hospitalization_event_models","TODO"
"build_models","Builds all of the GBA models"
"rebuild_models","Rebuilds models based on prior variables that were selected. Eliminates vars with a negative MSE. While this works, it did not show to improve model performance."
"get_blocked_variables","List of variables to exclude as candidate predictor variables."
"build_version_models","Builds all of the GBA models of a specified DEV version"
"discretize_ivs","Discretizes all of the independent variables, applies credibility adjustments, and report bin values."
"generate_lift_curves_for_all_models",""
"get_predictor_vars_from_head_version_dir","Gets all of the predictor variables from all models stored in the latest working development directory"
"load_all_models_from_head_version_dir","Loads all of the model files that are in the head version directory."
"get_model_dir","Gets the resource directory for models"
"get_model_files","Gets all of the model files out of the resource directory"
"get_models","Loads all the model RDS in a list of models."
"get_root_dir","Returns the root directory for model outputs"
"get_head_version_dir","Returns head version directory"
"get_head_iv_file","Returns independent variable file from head version directory"
"get_head_dv_file","Returns dependent variable file from head version directory"
"get_version_dir","Returns specified version directory"
"get_version_iv_file","Returns independent variable file from head version directory"
"get_version_dv_file","Returns dependent variable file from head version directory"
"get_next_version_number","Returns next version number for root directory"
"get_current_version_number","Returns the current version number in root directory"
"create_version_dir","Creates the next version directory in the root directory"
"build_dataset_version","Runs get_preprocessed_data() and saves to next version directory"
"promote_models","Promotes the models from the development to the production resource directory"
"get_all_model_ids_in_working_dir","Lists all the model ids that are saved in the working directory"
"promote_all_models","Promotes all models that are in the working directory to version control directory (you still need to check in)"
"unzip_file","Unzips a single file from zip into a specified location"
"delete_file","Deletes a file"
"unzip_files","Unzips multiple files from zip into a specified location"
"run_ahh_importing","Determines which AHH data to import (case mgmt or precert) and imports"
"run_vba_importing","Determines which VBA data to import (claim or eligibility) and imports"
"check_prod_data_import","Checks to make sure that all data has been imported when expected (uses import_log table in DB)"
"get_last_date","Returns last date by day of week https://stackoverflow.com/questions/28971638/r-obtaining-last-fridays-date/28972015#28972015"
"build_dataset","TODO"
"slice_dataset_by_interval","Split the X, XRF, and Y datasets up by day, saves individual files to the RDS directory"
"get_preprocessed_data","Overall pre-processing function for building dv and iv datasets"
"get_iv_controller","returns vector of names of pp_iv_* functions for running in get_preprocessed_data()"
"run_pp_iv_function","Function to run pp_iv_* function in in get_preprocessed_data()"
"run_pp_iv_error","Executed when an error occurs in run_pp_iv_function()"
"cbind_iv_list","Merges output of pp_iv_* functions (in list) into the final longitudinal IV dataset."
"flog_iv_dv_table_stats","Flog.info of number of rows and columns, unique person IDs, min and max sample dates"
"try_main_processing","main_processing function surrounded in a tryCatch block for better error logging."
